line_id	source_text	replacement_text	start_char	end_char	status
220	こんもは	コンモア	24	29	rejected
340	セカラジ	セカラジ	47	53	rejected
340	セカラジ	セカラジ	47	53	rejected
505	こんばこ	コンニーゴ	24	30	rejected
506	こんばこ	コンニーゴ	0	6	rejected
546	こんばこ	コンニーゴ	24	30	rejected
547	こんばこ	コンニーゴ	0	6	rejected
613	こんばこ	コンニーゴ	24	30	rejected
614	こんばこ	コンニーゴ	0	6	rejected
700	せかラジ	セカラジ	0	5	rejected
220	こんもは	コンモア	12	16	repaired
505	こんばこ	コンニーゴ	12	16	repaired
506	こんばこ	コンニーゴ	0	4	repaired
546	こんばこ	コンニーゴ	10	14	repaired
547	こんばこ	コンニーゴ	0	4	repaired
613	こんばこ	コンニーゴ	10	14	repaired
614	こんばこ	コンニーゴ	0	4	repaired
700	せかラジ	セカラジ	0	4	repaired
