chunk	lines	prompt	candidates	thoughts	total
1	30	5237	532	None	5769
2	30	5187	470	None	5657
3	30	5240	542	None	5782
4	8	4321	127	None	4448
5	30	5241	535	None	5776
6	30	5384	625	None	6009
7	30	5238	517	None	5755
8	19	4820	365	None	5185
9	30	5234	550	None	5784
10	30	5297	579	None	5876
11	30	5254	549	None	5803
12	30	5189	479	None	5668
13	30	5241	549	None	5790
14	30	5223	505	None	5728
15	30	5267	533	None	5800
16	28	5107	448	None	5555
17	30	5213	513	None	5726
18	25	5044	437	None	5481
19	30	5279	557	None	5836
20	30	5224	528	None	5752
21	30	5302	583	None	5885
22	30	5309	640	None	5949
23	30	5267	604	None	5871
24	30	5229	505	None	5734
25	10	4431	160	None	4591
26	13	4532	210	None	4742
27	30	5241	485	None	5726
28	30	5288	617	None	5905
29	3	4117	46	None	4163
30	5	4214	147	None	4361
